SampleID,TYPE,Value,DL
A0,CRM,<0.02,0.01
A1,BLK,ND,0.005
A2,DUP,1.5,
A3,CRM,<0.02,0.01
A4,BLK,ND,0.005
A5,DUP,1.5,
A6,CRM,<0.02,0.01
A7,BLK,ND,0.005
A8,DUP,1.5,
A9,CRM,<0.02,0.01
A10,BLK,ND,0.005
A11,DUP,1.5,
A12,CRM,<0.02,0.01
A13,BLK,ND,0.005
A14,DUP,1.5,
A15,CRM,<0.02,0.01
A16,BLK,ND,0.005
A17,DUP,1.5,
A18,CRM,<0.02,0.01
A19,BLK,ND,0.005
A20,DUP,1.5,
A21,CRM,<0.02,0.01
A22,BLK,ND,0.005
A23,DUP,1.5,
A24,CRM,<0.02,0.01
A25,BLK,ND,0.005
A26,DUP,1.5,
A27,CRM,<0.02,0.01
A28,BLK,ND,0.005
A29,DUP,1.5,
A30,CRM,<0.02,0.01
A31,BLK,ND,0.005
A32,DUP,1.5,
A33,CRM,<0.02,0.01
A34,BLK,ND,0.005
A35,DUP,1.5,
A36,CRM,<0.02,0.01
A37,BLK,ND,0.005
A38,DUP,1.5,
A39,CRM,<0.02,0.01
A40,BLK,ND,0.005
A41,DUP,1.5,
A42,CRM,<0.02,0.01
A43,BLK,ND,0.005
A44,DUP,1.5,
A45,CRM,<0.02,0.01
A46,BLK,ND,0.005
A47,DUP,1.5,
A48,CRM,<0.02,0.01
A49,BLK,ND,0.005
A50,DUP,1.5,
A51,CRM,<0.02,0.01
A52,BLK,ND,0.005
A53,DUP,1.5,
A54,CRM,<0.02,0.01
A55,BLK,ND,0.005
A56,DUP,1.5,
A57,CRM,<0.02,0.01
A58,BLK,ND,0.005
A59,DUP,1.5,
A60,CRM,<0.02,0.01
A61,BLK,ND,0.005
A62,DUP,1.5,
A63,CRM,<0.02,0.01
A64,BLK,ND,0.005
A65,DUP,1.5,
A66,CRM,<0.02,0.01
A67,BLK,ND,0.005
A68,DUP,1.5,
A69,CRM,<0.02,0.01
A70,BLK,ND,0.005
A71,DUP,1.5,
A72,CRM,<0.02,0.01
A73,BLK,ND,0.005
A74,DUP,1.5,
A75,CRM,<0.02,0.01
A76,BLK,ND,0.005
A77,DUP,1.5,
A78,CRM,<0.02,0.01
A79,BLK,ND,0.005
A80,DUP,1.5,
A81,CRM,<0.02,0.01
A82,BLK,ND,0.005
A83,DUP,1.5,
A84,CRM,<0.02,0.01
A85,BLK,ND,0.005
A86,DUP,1.5,
A87,CRM,<0.02,0.01
A88,BLK,ND,0.005
A89,DUP,1.5,
A90,CRM,<0.02,0.01
A91,BLK,ND,0.005
A92,DUP,1.5,
A93,CRM,<0.02,0.01
A94,BLK,ND,0.005
A95,DUP,1.5,
A96,CRM,<0.02,0.01
A97,BLK,ND,0.005
A98,DUP,1.5,
A99,CRM,<0.02,0.01
A100,BLK,ND,0.005
A101,DUP,1.5,
A102,CRM,<0.02,0.01
A103,BLK,ND,0.005
A104,DUP,1.5,
A105,CRM,<0.02,0.01
A106,BLK,ND,0.005
A107,DUP,1.5,
A108,CRM,<0.02,0.01
A109,BLK,ND,0.005
A110,DUP,1.5,
A111,CRM,<0.02,0.01
A112,BLK,ND,0.005
A113,DUP,1.5,
A114,CRM,<0.02,0.01
A115,BLK,ND,0.005
A116,DUP,1.5,
A117,CRM,<0.02,0.01
A118,BLK,ND,0.005
A119,DUP,1.5,
A120,CRM,<0.02,0.01
A121,BLK,ND,0.005
A122,DUP,1.5,
A123,CRM,<0.02,0.01
A124,BLK,ND,0.005
A125,DUP,1.5,
A126,CRM,<0.02,0.01
A127,BLK,ND,0.005
A128,DUP,1.5,
A129,CRM,<0.02,0.01
A130,BLK,ND,0.005
A131,DUP,1.5,
A132,CRM,<0.02,0.01
A133,BLK,ND,0.005
A134,DUP,1.5,
A135,CRM,<0.02,0.01
A136,BLK,ND,0.005
A137,DUP,1.5,
A138,CRM,<0.02,0.01
A139,BLK,ND,0.005
A140,DUP,1.5,
A141,CRM,<0.02,0.01
A142,BLK,ND,0.005
A143,DUP,1.5,
A144,CRM,<0.02,0.01
A145,BLK,ND,0.005
A146,DUP,1.5,
A147,CRM,<0.02,0.01
A148,BLK,ND,0.005
A149,DUP,1.5,
A150,CRM,<0.02,0.01
A151,BLK,ND,0.005
A152,DUP,1.5,
A153,CRM,<0.02,0.01
A154,BLK,ND,0.005
A155,DUP,1.5,
A156,CRM,<0.02,0.01
A157,BLK,ND,0.005
A158,DUP,1.5,
A159,CRM,<0.02,0.01
A160,BLK,ND,0.005
A161,DUP,1.5,
A162,CRM,<0.02,0.01
A163,BLK,ND,0.005
A164,DUP,1.5,
A165,CRM,<0.02,0.01
A166,BLK,ND,0.005
A167,DUP,1.5,
A168,CRM,<0.02,0.01
A169,BLK,ND,0.005
A170,DUP,1.5,
A171,CRM,<0.02,0.01
A172,BLK,ND,0.005
A173,DUP,1.5,
A174,CRM,<0.02,0.01
A175,BLK,ND,0.005
A176,DUP,1.5,
A177,CRM,<0.02,0.01
