sample_id,sample_type,result,qualifier,detection_limit,lab_batch,analysis_date,analyst,method
LSTD-001,STANDARD,0.098,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSTD-002,STANDARD,0.14,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSTD-003,STANDARD,0.126,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSTD-004,STANDARD,0.09,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LBLK-001,BLANK,0.001,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LBLK-002,BLANK,0.002,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LBLK-003,BLANK,0.0015,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LBLK-004,BLANK,0.0018,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-001,SAMPLE,0.08,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-002,SAMPLE,0.15,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-003,SAMPLE,0.22,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-004,SAMPLE,0.18,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-005,SAMPLE,0.12,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-006,SAMPLE,0.25,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-007,SAMPLE,0.09,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
LSMP-008,SAMPLE,0.31,,0.005,BATCH-003,2025-10-19,Analyst C,ICP-MS
