sample_id,sample_type,result,qualifier,detection_limit,lab_batch,analysis_date,analyst,method
BSTD-001,STANDARD,0.917,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
BSTD-002,STANDARD,0.925,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
BSTD-003,STANDARD,0.981,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
BSTD-004,STANDARD,0.978,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
CBLK-001,BLANK,0.05,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
CBLK-002,BLANK,0.08,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
CBLK-003,BLANK,0.12,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
CBLK-004,BLANK,0.15,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
PDUP-001,DUPLICATE,1.0,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
PDUP-001,DUPLICATE,1.5,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
PDUP-002,DUPLICATE,2.0,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
PDUP-002,DUPLICATE,3.0,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
PDUP-003,DUPLICATE,0.5,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
PDUP-003,DUPLICATE,1.2,,0.01,BATCH-004,2025-10-18,Analyst D,Fire Assay
