sample_id,sample_type,result,qualifier,detection_limit,lab_batch,analysis_date,analyst,method
STD-001,STANDARD,0.875,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
STD-002,STANDARD,0.843,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
STD-003,STANDARD,0.882,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
STD-004,STANDARD,0.926,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
STD-005,STANDARD,0.838,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
BLK-001,BLANK,0.01,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
BLK-002,BLANK,0.02,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
BLK-003,BLANK,0.15,<DL,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
BLK-004,BLANK,0.02,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
DUP-001,DUPLICATE,1.25,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
DUP-001,DUPLICATE,1.28,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
DUP-002,DUPLICATE,2.15,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
DUP-002,DUPLICATE,2.35,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
DUP-003,DUPLICATE,0.95,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
DUP-003,DUPLICATE,0.97,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-001,SAMPLE,1.5,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-002,SAMPLE,0.005,<DL,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-003,SAMPLE,2.1,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-004,SAMPLE,0.008,<DL,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-005,SAMPLE,3.2,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-006,SAMPLE,1.8,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-007,SAMPLE,0.012,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-008,SAMPLE,4.5,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-009,SAMPLE,0.009,<DL,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
SMP-010,SAMPLE,2.8,,0.01,BATCH-001,2025-10-20,Analyst A,Fire Assay
HSTD-001,STANDARD,32.15,,0.1,BATCH-002,2025-10-20,Analyst B,Fire Assay
HSTD-002,STANDARD,34.87,,0.1,BATCH-002,2025-10-20,Analyst B,Fire Assay
HSTD-003,STANDARD,33.65,,0.1,BATCH-002,2025-10-20,Analyst B,Fire Assay
BLK-005,BLANK,0.018,,0.01,BATCH-002,2025-10-20,Analyst B,Fire Assay
BLK-006,BLANK,0.023,,0.01,BATCH-002,2025-10-20,Analyst B,Fire Assay
BLK-007,BLANK,0.018,,0.01,BATCH-002,2025-10-20,Analyst B,Fire Assay
