sample_id,sample_type,result,detection_limit,qualifier
A0,CRM,,0.02,<
A1,BLK,,0.005,<
A2,DUP,1.5,,
A3,CRM,,0.02,<
A4,BLK,,0.005,<
A5,DUP,1.5,,
A6,CRM,,0.02,<
A7,BLK,,0.005,<
A8,DUP,1.5,,
A9,CRM,,0.02,<
A10,BLK,,0.005,<
A11,DUP,1.5,,
A12,CRM,,0.02,<
A13,BLK,,0.005,<
A14,DUP,1.5,,
A15,CRM,,0.02,<
A16,BLK,,0.005,<
A17,DUP,1.5,,
A18,CRM,,0.02,<
A19,BLK,,0.005,<
A20,DUP,1.5,,
A21,CRM,,0.02,<
A22,BLK,,0.005,<
A23,DUP,1.5,,
A24,CRM,,0.02,<
A25,BLK,,0.005,<
A26,DUP,1.5,,
A27,CRM,,0.02,<
A28,BLK,,0.005,<
A29,DUP,1.5,,
A30,CRM,,0.02,<
A31,BLK,,0.005,<
A32,DUP,1.5,,
A33,CRM,,0.02,<
A34,BLK,,0.005,<
A35,DUP,1.5,,
A36,CRM,,0.02,<
A37,BLK,,0.005,<
A38,DUP,1.5,,
A39,CRM,,0.02,<
A40,BLK,,0.005,<
A41,DUP,1.5,,
A42,CRM,,0.02,<
A43,BLK,,0.005,<
A44,DUP,1.5,,
A45,CRM,,0.02,<
A46,BLK,,0.005,<
A47,DUP,1.5,,
A48,CRM,,0.02,<
A49,BLK,,0.005,<
A50,DUP,1.5,,
A51,CRM,,0.02,<
A52,BLK,,0.005,<
A53,DUP,1.5,,
A54,CRM,,0.02,<
A55,BLK,,0.005,<
A56,DUP,1.5,,
A57,CRM,,0.02,<
A58,BLK,,0.005,<
A59,DUP,1.5,,
A60,CRM,,0.02,<
A61,BLK,,0.005,<
A62,DUP,1.5,,
A63,CRM,,0.02,<
A64,BLK,,0.005,<
A65,DUP,1.5,,
A66,CRM,,0.02,<
A67,BLK,,0.005,<
A68,DUP,1.5,,
A69,CRM,,0.02,<
A70,BLK,,0.005,<
A71,DUP,1.5,,
A72,CRM,,0.02,<
A73,BLK,,0.005,<
A74,DUP,1.5,,
A75,CRM,,0.02,<
A76,BLK,,0.005,<
A77,DUP,1.5,,
A78,CRM,,0.02,<
A79,BLK,,0.005,<
A80,DUP,1.5,,
A81,CRM,,0.02,<
A82,BLK,,0.005,<
A83,DUP,1.5,,
A84,CRM,,0.02,<
A85,BLK,,0.005,<
A86,DUP,1.5,,
A87,CRM,,0.02,<
A88,BLK,,0.005,<
A89,DUP,1.5,,
A90,CRM,,0.02,<
A91,BLK,,0.005,<
A92,DUP,1.5,,
A93,CRM,,0.02,<
A94,BLK,,0.005,<
A95,DUP,1.5,,
A96,CRM,,0.02,<
A97,BLK,,0.005,<
A98,DUP,1.5,,
A99,CRM,,0.02,<
A100,BLK,,0.005,<
A101,DUP,1.5,,
A102,CRM,,0.02,<
A103,BLK,,0.005,<
A104,DUP,1.5,,
A105,CRM,,0.02,<
A106,BLK,,0.005,<
A107,DUP,1.5,,
A108,CRM,,0.02,<
A109,BLK,,0.005,<
A110,DUP,1.5,,
A111,CRM,,0.02,<
A112,BLK,,0.005,<
A113,DUP,1.5,,
A114,CRM,,0.02,<
A115,BLK,,0.005,<
A116,DUP,1.5,,
A117,CRM,,0.02,<
A118,BLK,,0.005,<
A119,DUP,1.5,,
A120,CRM,,0.02,<
A121,BLK,,0.005,<
A122,DUP,1.5,,
A123,CRM,,0.02,<
A124,BLK,,0.005,<
A125,DUP,1.5,,
A126,CRM,,0.02,<
A127,BLK,,0.005,<
A128,DUP,1.5,,
A129,CRM,,0.02,<
A130,BLK,,0.005,<
A131,DUP,1.5,,
A132,CRM,,0.02,<
A133,BLK,,0.005,<
A134,DUP,1.5,,
A135,CRM,,0.02,<
A136,BLK,,0.005,<
A137,DUP,1.5,,
A138,CRM,,0.02,<
A139,BLK,,0.005,<
A140,DUP,1.5,,
A141,CRM,,0.02,<
A142,BLK,,0.005,<
A143,DUP,1.5,,
A144,CRM,,0.02,<
A145,BLK,,0.005,<
A146,DUP,1.5,,
A147,CRM,,0.02,<
A148,BLK,,0.005,<
A149,DUP,1.5,,
A150,CRM,,0.02,<
A151,BLK,,0.005,<
A152,DUP,1.5,,
A153,CRM,,0.02,<
A154,BLK,,0.005,<
A155,DUP,1.5,,
A156,CRM,,0.02,<
A157,BLK,,0.005,<
A158,DUP,1.5,,
A159,CRM,,0.02,<
A160,BLK,,0.005,<
A161,DUP,1.5,,
A162,CRM,,0.02,<
A163,BLK,,0.005,<
A164,DUP,1.5,,
A165,CRM,,0.02,<
A166,BLK,,0.005,<
A167,DUP,1.5,,
A168,CRM,,0.02,<
A169,BLK,,0.005,<
A170,DUP,1.5,,
A171,CRM,,0.02,<
A172,BLK,,0.005,<
A173,DUP,1.5,,
A174,CRM,,0.02,<
A175,BLK,,0.005,<
A176,DUP,1.5,,
A177,CRM,,0.02,<
A178,BLK,,0.005,<
A179,DUP,1.5,,
A180,CRM,,0.02,<
A181,BLK,,0.005,<
A182,DUP,1.5,,
A183,CRM,,0.02,<
A184,BLK,,0.005,<
A185,DUP,1.5,,
A186,CRM,,0.02,<
A187,BLK,,0.005,<
A188,DUP,1.5,,
A189,CRM,,0.02,<
A190,BLK,,0.005,<
A191,DUP,1.5,,
A192,CRM,,0.02,<
A193,BLK,,0.005,<
A194,DUP,1.5,,
A195,CRM,,0.02,<
A196,BLK,,0.005,<
A197,DUP,1.5,,
A198,CRM,,0.02,<
A199,BLK,,0.005,<
A200,DUP,1.5,,
A201,CRM,,0.02,<
A202,BLK,,0.005,<
A203,DUP,1.5,,
A204,CRM,,0.02,<
A205,BLK,,0.005,<
A206,DUP,1.5,,
A207,CRM,,0.02,<
A208,BLK,,0.005,<
A209,DUP,1.5,,
A210,CRM,,0.02,<
A211,BLK,,0.005,<
A212,DUP,1.5,,
A213,CRM,,0.02,<
A214,BLK,,0.005,<
A215,DUP,1.5,,
A216,CRM,,0.02,<
A217,BLK,,0.005,<
A218,DUP,1.5,,
A219,CRM,,0.02,<
A220,BLK,,0.005,<
A221,DUP,1.5,,
A222,CRM,,0.02,<
A223,BLK,,0.005,<
A224,DUP,1.5,,
A225,CRM,,0.02,<
A226,BLK,,0.005,<
A227,DUP,1.5,,
A228,CRM,,0.02,<
A229,BLK,,0.005,<
A230,DUP,1.5,,
A231,CRM,,0.02,<
A232,BLK,,0.005,<
A233,DUP,1.5,,
A234,CRM,,0.02,<
A235,BLK,,0.005,<
A236,DUP,1.5,,
A237,CRM,,0.02,<
A238,BLK,,0.005,<
A239,DUP,1.5,,
A240,CRM,,0.02,<
A241,BLK,,0.005,<
A242,DUP,1.5,,
A243,CRM,,0.02,<
A244,BLK,,0.005,<
A245,DUP,1.5,,
A246,CRM,,0.02,<
A247,BLK,,0.005,<
A248,DUP,1.5,,
A249,CRM,,0.02,<
A250,BLK,,0.005,<
A251,DUP,1.5,,
A252,CRM,,0.02,<
A253,BLK,,0.005,<
A254,DUP,1.5,,
A255,CRM,,0.02,<
A256,BLK,,0.005,<
A257,DUP,1.5,,
A258,CRM,,0.02,<
A259,BLK,,0.005,<
A260,DUP,1.5,,
A261,CRM,,0.02,<
A262,BLK,,0.005,<
A263,DUP,1.5,,
